year,state_norm,district_norm,metric,value,state,district
2010,arunachal pradesh,tirap,women,3.0,ARUNACHAL PRADESH,TIRAP
2010,arunachal pradesh,total,children,20.0,ARUNACHAL PRADESH,TOTAL
2010,arunachal pradesh,total,ipc,27652.0,ARUNACHAL PRADESH,TOTAL
2010,arunachal pradesh,total,women,190.0,ARUNACHAL PRADESH,TOTAL
2010,arunachal pradesh,upper dibang valley,children,0.0,ARUNACHAL PRADESH,UPPER DIBANG VALLEY
2010,arunachal pradesh,upper dibang valley,ipc,148.0,ARUNACHAL PRADESH,UPPER DIBANG VALLEY
2010,arunachal pradesh,upper dibang valley,women,0.0,ARUNACHAL PRADESH,UPPER DIBANG VALLEY
2010,assam,baksa,ipc,664.0,ASSAM,BAKSA
2010,assam,barpeta,children,0.0,ASSAM,BARPETA
2010,assam,barpeta,ipc,28180.0,ASSAM,BARPETA
2010,assam,barpeta,women,538.0,ASSAM,BARPETA
2010,assam,baska,children,1.0,ASSAM,BASKA
2010,assam,baska,ipc,3269.0,ASSAM,BASKA
2010,assam,baska,women,108.0,ASSAM,BASKA
2010,assam,bieo,ipc,16.0,ASSAM,BIEO
2010,assam,bongaigaon,children,0.0,ASSAM,BONGAIGAON
2010,assam,bongaigaon,ipc,12893.0,ASSAM,BONGAIGAON
2010,assam,bongaigaon,women,398.0,ASSAM,BONGAIGAON
2010,assam,c i d,children,0.0,ASSAM,C.I.D.
2010,assam,c i d,ipc,384.0,ASSAM,C.I.D.
2010,assam,c i d,women,0.0,ASSAM,C.I.D.
2010,assam,cachar,children,0.0,ASSAM,CACHAR
2010,assam,cachar,ipc,48300.0,ASSAM,CACHAR
2010,assam,cachar,women,755.0,ASSAM,CACHAR
2010,assam,chirang,children,0.0,ASSAM,CHIRANG
2010,assam,chirang,ipc,4505.0,ASSAM,CHIRANG
2010,assam,chirang,women,130.0,ASSAM,CHIRANG
2010,assam,darrang,children,2.0,ASSAM,DARRANG
2010,assam,darrang,ipc,20878.0,ASSAM,DARRANG
2010,assam,darrang,women,827.0,ASSAM,DARRANG
2010,assam,dhemaji,children,2.0,ASSAM,DHEMAJI
2010,assam,dhemaji,ipc,11695.0,ASSAM,DHEMAJI
2010,assam,dhemaji,women,318.0,ASSAM,DHEMAJI
2010,assam,dhubri,children,99.0,ASSAM,DHUBRI
2010,assam,dhubri,ipc,35176.0,ASSAM,DHUBRI
2010,assam,dhubri,women,1397.0,ASSAM,DHUBRI
2010,assam,dibrugarh,children,4.0,ASSAM,DIBRUGARH
2010,assam,dibrugarh,ipc,25682.0,ASSAM,DIBRUGARH
2010,assam,dibrugarh,women,294.0,ASSAM,DIBRUGARH
2010,assam,g r p,children,0.0,ASSAM,G.R.P.
2010,assam,g r p,ipc,3589.0,ASSAM,G.R.P.
2010,assam,g r p,women,8.0,ASSAM,G.R.P.
2010,assam,goalpara,children,0.0,ASSAM,GOALPARA
2010,assam,goalpara,ipc,17342.0,ASSAM,GOALPARA
2010,assam,goalpara,women,513.0,ASSAM,GOALPARA
2010,assam,golaghat,children,0.0,ASSAM,GOLAGHAT
2010,assam,golaghat,ipc,18697.0,ASSAM,GOLAGHAT
