year,state_norm,district_norm,children,cyber,ipc,sll,women,ipc_log,ipc_state_pct,sll_log,sll_state_pct,women_log,women_state_pct,children_log,children_state_pct,cyber_log,cyber_state_pct,ipc_prev,ipc_growth,ipc_gap_years,women_prev,women_growth,women_gap_years,children_prev,children_growth,children_gap_years,cyber_prev,cyber_growth,cyber_gap_years,severity,risk_class,target_severity,target_year,d_key,s_key,is_reporting_unit,lat,lon,anchor_city,anchor_city_pop,geo_match_type,census_2011_population
2012,punjab,ludhiana,0.0,0.0,33313.0,0.0,0.0,10.413733008037052,0.9444444444444444,0.0,0.5138888888888888,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.5138888888888888,33313.0,0.0,1.0,52.0,-1.0,1.0,9.0,-1.0,1.0,0.0,0.0,1.0,0.5868055555555555,medium,,,ludhiana,punjab,False,30.900965,75.8572758,Ludhiana,1618879.0,exact,3498739.0
2012,meghalaya,jaintia hills,18.0,0.0,3821.0,0.0,40.0,8.248529124800218,0.625,0.0,0.5625,3.713572066704308,0.625,2.9444389791664403,0.75,0.0,0.5625,3821.0,0.0,1.0,57.0,-0.2982456140350877,1.0,26.0,-0.3076923076923077,1.0,0.0,0.0,1.0,0.6218750000000001,medium,,,jaintia hills,meghalaya,False,,,,,,395124.0
2012,uttar pradesh,prabuddh nagar,41.0,0.0,2554.0,0.0,150.0,7.845807502637805,0.0128205128205128,0.0,0.5064102564102564,5.017279836814924,0.1794871794871795,3.737669618283368,0.3012820512820512,0.0,0.5064102564102564,2554.0,0.0,1.0,169.0,-0.1124260355029585,1.0,33.0,0.2424242424242424,1.0,0.0,0.0,1.0,0.1983974358974359,low,,,prabuddh nagar,uttar pradesh,False,,,,,,
2012,rajasthan,jodhpur,0.0,0.0,33821.0,0.0,0.0,10.42886675730963,0.4166666666666667,0.0,0.5104166666666666,0.0,0.0625,0.0,0.0625,0.0,0.5104166666666666,33821.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3338541666666666,low,,,jodhpur,rajasthan,False,26.2389469,73.0243094,Jodhpur,1137815.0,exact,3687165.0
2012,rajasthan,jodhpur city,0.0,0.0,21731.0,0.0,0.0,9.986541107671414,0.2291666666666666,0.0,0.5104166666666666,0.0,0.0625,0.0,0.0625,0.0,0.5104166666666666,21731.0,0.0,1.0,487.0,-1.0,1.0,20.0,-1.0,1.0,0.0,0.0,1.0,0.2494791666666666,low,,,jodhpur,rajasthan,False,26.2389469,73.0243094,Jodhpur,1137815.0,exact,3687165.0
2012,gujarat,w rly,0.0,0.0,13502.0,0.0,0.0,9.510667161961042,0.2285714285714285,0.0,0.5142857142857142,0.0,0.0285714285714285,0.0,0.0571428571428571,0.0,0.5142857142857142,13502.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2428571428571428,low,,,w rly,gujarat,False,,,,,,
2012,uttar pradesh,j p nagar,39.0,0.0,15665.0,0.0,224.0,9.659248037927185,0.4487179487179487,0.0,0.5064102564102564,5.41610040220442,0.4807692307692308,3.688879454113936,0.282051282051282,0.0,0.5064102564102564,15665.0,0.0,1.0,214.0,0.0467289719626168,1.0,39.0,0.0,1.0,0.0,0.0,1.0,0.4528846153846154,medium,,,j p nagar,uttar pradesh,False,,,,,,
2012,delhi,delhi ut total,0.0,0.0,0.0,0.0,5920.0,0.0,0.5263157894736842,0.0,0.5263157894736842,8.686260632531775,1.0,0.0,0.1842105263157894,0.0,0.5263157894736842,0.0,0.0,1.0,5193.0,0.1399961486616599,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5868421052631578,medium,,,delhi ut total,delhi,True,,,,,,
2012,uttar pradesh,ramabai nagar,72.0,0.0,5680.0,0.0,229.0,8.644882552557126,0.1153846153846153,0.0,0.5064102564102564,5.438079308923196,0.5,4.290459441148391,0.5384615384615384,0.0,0.5064102564102564,5680.0,0.0,1.0,233.0,-0.0171673819742489,1.0,95.0,-0.2421052631578947,1.0,0.0,0.0,1.0,0.3323717948717948,low,,,ramabai nagar,uttar pradesh,False,,,,,,
2012,delhi,grp,45.0,0.0,0.0,0.0,35.0,0.0,0.5263157894736842,0.0,0.5263157894736842,3.58351893845611,0.3157894736842105,3.828641396489095,0.4210526315789473,0.0,0.5263157894736842,0.0,0.0,1.0,23.0,0.5217391304347826,1.0,35.0,0.2857142857142857,1.0,0.0,0.0,1.0,0.4736842105263157,medium,,,grp,delhi,False,,,,,,
